Day,Month,Sunrise,Sunrise.hr.before,Sunrise.hr.after,Sunset,Sunset.hr.before,Sunset.hr.after
13,12,08:37:00,07:37:00,09:37:00,16:34:00,15:34:00,17:34:00
14,12,08:38:00,07:38:00,09:38:00,16:34:00,15:34:00,17:34:00
15,12,08:39:00,07:39:00,09:39:00,16:34:00,15:34:00,17:34:00
16,12,08:39:00,07:39:00,09:39:00,16:34:00,15:34:00,17:34:00
17,12,08:40:00,07:40:00,09:40:00,16:35:00,15:35:00,17:35:00
18,12,08:41:00,07:41:00,09:41:00,16:35:00,15:35:00,17:35:00
19,12,08:41:00,07:41:00,09:41:00,16:35:00,15:35:00,17:35:00
20,12,08:42:00,07:42:00,09:42:00,16:36:00,15:36:00,17:36:00
21,12,08:42:00,07:42:00,09:42:00,16:36:00,15:36:00,17:36:00
22,12,08:43:00,07:43:00,09:43:00,16:37:00,15:37:00,17:37:00
23,12,08:43:00,07:43:00,09:43:00,16:38:00,15:38:00,17:38:00
24,12,08:44:00,07:44:00,09:44:00,16:38:00,15:38:00,17:38:00
25,12,08:44:00,07:44:00,09:44:00,16:39:00,15:39:00,17:39:00
26,12,08:44:00,07:44:00,09:44:00,16:40:00,15:40:00,17:40:00
27,12,08:44:00,07:44:00,09:44:00,16:40:00,15:40:00,17:40:00
28,12,08:44:00,07:44:00,09:44:00,16:41:00,15:41:00,17:41:00
29,12,08:45:00,07:45:00,09:45:00,16:42:00,15:42:00,17:42:00
30,12,08:45:00,07:45:00,09:45:00,16:43:00,15:43:00,17:43:00
31,12,08:45:00,07:45:00,09:45:00,16:44:00,15:44:00,17:44:00
