"","Project","Location","UTM_Zone","Easting","Northing","DateStart","DateLastWorking","CameraWorking","Month","Year"
"225","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2011-12-22,2012-01-09,"Yes",12,2011
"226","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-01-09,2012-01-28,"Yes",1,2012
"227","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-01-28,2012-02-21,"Yes",1,2012
"228","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-02-21,2012-03-12,"Yes",2,2012
"229","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-03-12,2012-04-02,"Yes",3,2012
"230","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-04-02,2012-04-21,"Yes",4,2012
"231","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-04-21,2012-05-14,"Yes",4,2012
"232","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-05-14,2012-06-04,"Yes",5,2012
"233","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-06-04,2012-07-16,"Yes",6,2012
"234","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-07-16,2012-08-16,"Yes",7,2012
"235","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-08-16,2012-09-17,"Yes",8,2012
"236","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-09-17,2012-10-08,"Yes",9,2012
"237","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-10-08,2012-10-29,"Yes",10,2012
"238","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-10-29,2012-11-17,"Yes",10,2012
"239","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-11-17,2012-12-08,"Yes",11,2012
"240","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-12-08,2012-12-29,"Yes",12,2012
"241","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2012-12-29,2012-12-29,"No",12,2012
"242","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2013-01-19,2013-02-09,"Yes",1,2013
"243","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2013-02-09,2013-02-09,"No",2,2013
"244","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2013-03-02,2013-03-23,"Yes",3,2013
"245","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2013-03-23,2013-04-13,"Yes",3,2013
"246","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2013-04-13,2013-05-04,"Yes",4,2013
"247","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2013-05-04,2013-05-30,"Yes",5,2013
"248","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2013-05-30,2013-06-17,"Yes",5,2013
"249","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2013-06-17,2013-08-19,"Yes",6,2013
"250","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2013-08-19,2013-10-21,"Yes",8,2013
"251","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2013-10-21,2014-01-28,"Yes",10,2013
"252","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2014-01-28,2014-05-12,"Yes",1,2014
"253","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2014-05-12,2014-08-23,"Yes",5,2014
"254","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2014-08-23,2014-09-13,"Yes",8,2014
"255","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2014-09-13,2014-10-04,"Yes",9,2014
"256","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2014-10-04,2014-10-24,"Yes",10,2014
"257","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2014-10-24,2014-11-15,"Yes",10,2014
"258","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2014-11-15,2014-12-06,"Yes",11,2014
"259","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2014-12-06,2014-12-31,"Yes",12,2014
"260","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2014-12-31,2015-01-19,"Yes",12,2014
"261","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2015-01-19,2015-02-09,"Yes",1,2015
"262","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2015-02-09,2015-03-01,"Yes",2,2015
"263","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2015-03-01,2015-03-23,"Yes",3,2015
"264","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2015-03-23,2015-04-12,"Yes",3,2015
"265","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2015-04-12,2015-05-10,"Yes",4,2015
"266","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2015-05-10,2015-06-08,"Yes",5,2015
"267","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2015-06-08,2015-07-06,"Yes",6,2015
"268","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2015-07-06,2015-08-10,"Yes",7,2015
"269","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2015-08-10,2015-09-15,"Yes",8,2015
"270","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2015-09-15,2015-10-11,"Yes",9,2015
"271","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2015-10-11,2015-11-10,"Yes",10,2015
"272","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2015-11-10,2015-12-14,"Yes",11,2015
"273","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2015-12-14,2016-01-07,"Yes",12,2015
"274","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2016-01-07,2016-02-09,"Yes",1,2016
"275","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2016-02-09,2016-03-16,"Yes",2,2016
"276","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2016-03-16,2016-04-11,"Yes",3,2016
"277","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2016-04-11,2016-05-11,"Yes",4,2016
"278","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2016-05-11,2016-06-13,"Yes",5,2016
"279","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2016-06-13,2016-08-08,"Yes",6,2016
"280","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2016-08-08,2016-09-12,"Yes",8,2016
"281","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2016-09-13,2016-10-11,"Yes",9,2016
"282","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2016-10-11,2016-11-16,"Yes",10,2016
"283","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2016-11-16,2016-12-13,"Yes",11,2016
"284","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2016-12-13,2017-01-01,"No",12,2016
"285","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2017-01-03,2017-02-13,"Yes",1,2017
"286","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2017-02-13,2017-03-14,"Yes",2,2017
"287","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2017-03-14,2017-04-04,"Yes",3,2017
"288","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2017-04-04,2017-05-08,"Yes",4,2017
"289","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2017-05-08,2017-07-10,"Yes",5,2017
"290","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2017-07-10,2017-08-14,"Yes",7,2017
"291","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2017-08-14,2017-09-11,"Yes",8,2017
"292","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2017-09-11,2017-10-11,"Yes",9,2017
"293","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2017-10-11,2017-11-14,"Yes",10,2017
"294","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2017-11-14,2017-12-11,"Yes",11,2017
"295","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2017-12-11,2017-12-24,"No",12,2017
"296","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2018-01-08,2018-02-12,"Yes",1,2018
"297","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2018-02-12,2018-03-12,"Yes",2,2018
"298","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2018-03-12,2018-04-09,"Yes",3,2018
"299","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2018-04-09,2018-05-18,"Yes",4,2018
"300","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2018-05-18,2018-07-11,"Yes",5,2018
"301","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2018-07-11,2018-08-16,"Yes",7,2018
"302","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2018-08-16,2018-09-07,"Yes",8,2018
"303","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2018-09-07,2018-10-10,"Yes",9,2018
"304","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2018-10-10,2018-11-15,"Yes",10,2018
"305","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2018-11-15,2018-12-10,"Yes",11,2018
"306","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2018-12-10,2019-01-07,"Yes",12,2018
"307","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2008-01-02,2009-08-01,"Yes",1,2008
"308","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2009-08-01,2009-12-07,"Yes",8,2009
"309","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2010-02-02,2010-02-16,"Yes",2,2010
"310","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2010-02-16,2010-03-05,"Yes",2,2010
"311","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2010-03-05,2010-03-25,"Yes",3,2010
"312","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2010-03-25,2010-04-12,"Yes",3,2010
"313","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2010-04-12,2010-05-03,"Yes",4,2010
"314","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2010-05-03,2010-06-08,"Yes",5,2010
"315","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2010-06-08,2010-07-19,"Yes",6,2010
"316","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2010-07-19,2010-08-20,"Yes",7,2010
"317","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2010-08-20,2010-10-18,"Yes",8,2010
"318","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2010-10-18,2010-12-21,"Yes",10,2010
"319","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2010-12-21,2011-02-25,"Yes",12,2010
"320","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2011-02-25,2011-04-20,"Yes",2,2011
"321","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2011-04-20,2011-05-19,"Yes",4,2011
"322","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2011-05-19,2011-06-02,"Yes",5,2011
"323","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2011-06-02,2011-07-22,"Yes",6,2011
"324","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2011-07-22,2011-11-08,"Yes",7,2011
"325","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2011-11-08,2011-11-29,"Yes",11,2011
"326","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2011-11-29,2012-02-03,"Yes",11,2011
"327","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2012-02-03,2012-03-07,"Yes",2,2012
"328","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2012-03-07,2012-05-15,"Yes",3,2012
"329","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2012-05-15,2012-07-19,"Yes",5,2012
"330","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2012-07-19,2012-09-25,"Yes",7,2012
"331","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2012-09-25,2012-11-22,"Yes",9,2012
"332","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2012-11-22,2013-01-17,"Yes",11,2012
"333","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2013-01-17,2013-02-28,"Yes",1,2013
"334","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2013-02-28,2013-04-18,"Yes",2,2013
"335","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2013-04-18,2013-04-23,"Yes",4,2013
"336","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2013-04-23,2013-05-02,"Yes",4,2013
"337","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2013-05-02,2013-06-06,"Yes",5,2013
"338","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2013-06-06,2013-07-09,"Yes",6,2013
"339","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2013-07-09,2013-08-09,"Yes",7,2013
"340","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2013-08-09,2013-09-23,"Yes",8,2013
"341","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2013-09-23,2013-11-13,"Yes",9,2013
"342","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2013-11-13,2013-12-24,"Yes",11,2013
"343","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2013-12-24,2014-01-17,"Yes",12,2013
"344","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2014-01-17,2014-03-11,"Yes",1,2014
"345","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2014-03-11,2014-03-11,"No",3,2014
"346","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2014-04-15,2014-06-03,"Yes",4,2014
"347","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2014-06-03,2014-08-09,"Yes",6,2014
"348","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2014-08-09,2014-10-27,"Yes",8,2014
"349","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2014-10-27,2015-01-09,"Yes",10,2014
"350","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2015-01-09,2015-02-20,"Yes",1,2015
"351","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2015-02-20,2015-03-19,"Yes",2,2015
"352","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2015-03-19,2015-04-12,"Yes",3,2015
"353","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2015-04-12,2015-04-12,"No",4,2015
"354","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2015-05-10,2015-06-08,"Yes",5,2015
"355","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2015-06-08,2015-07-06,"Yes",6,2015
"356","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2015-07-06,2015-08-10,"Yes",7,2015
"357","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2015-08-10,2015-09-15,"Yes",8,2015
"358","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2015-09-15,2015-10-11,"Yes",9,2015
"359","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2015-10-11,2015-11-10,"Yes",10,2015
"360","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2015-11-10,2015-12-14,"Yes",11,2015
"361","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2015-12-14,2016-01-08,"Yes",12,2015
"362","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2016-01-08,2016-02-09,"Yes",1,2016
"363","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2016-02-09,2016-03-16,"Yes",2,2016
"364","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2016-03-16,2016-04-11,"Yes",3,2016
"365","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2016-04-11,2016-05-11,"Yes",4,2016
"366","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2016-05-11,2016-06-13,"Yes",5,2016
"367","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2016-06-13,2016-08-08,"Yes",6,2016
"368","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2016-08-08,2016-09-12,"Yes",8,2016
"369","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2016-09-12,2016-10-11,"Yes",9,2016
"370","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2016-10-11,2016-11-16,"Yes",10,2016
"371","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2016-11-16,2016-12-13,"Yes",11,2016
"372","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2016-12-13,2017-01-03,"Yes",12,2016
"373","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2017-01-03,2017-02-13,"Yes",1,2017
"374","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2017-02-13,2017-03-14,"Yes",2,2017
"375","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2017-03-14,2017-04-04,"Yes",3,2017
"376","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2017-04-04,2017-05-08,"Yes",4,2017
"377","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2017-05-08,2017-06-13,"Yes",5,2017
"378","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2017-06-13,2017-07-10,"Yes",6,2017
"379","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2017-07-10,2017-08-14,"Yes",7,2017
"380","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2017-08-14,2017-09-11,"Yes",8,2017
"381","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2017-09-11,2017-10-11,"Yes",9,2017
"382","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2017-10-11,2017-11-14,"Yes",10,2017
"383","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2017-11-14,2017-12-11,"Yes",11,2017
"384","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2017-12-11,2018-01-08,"Yes",12,2017
"385","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2018-01-08,2018-03-12,"No",1,2018
"386","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2018-03-12,2018-04-09,"Yes",3,2018
"387","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2018-04-09,2018-05-18,"Yes",4,2018
"388","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2018-05-18,2018-06-12,"Yes",5,2018
"389","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2018-06-12,2018-07-11,"Yes",6,2018
"390","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2018-07-11,2018-08-16,"Yes",7,2018
"391","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2018-08-16,2018-09-07,"Yes",8,2018
"392","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2018-09-07,2018-10-10,"Yes",9,2018
"393","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2018-10-10,2018-11-15,"Yes",10,2018
"394","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2018-11-15,2018-12-10,"Yes",11,2018
"395","Wildlife Crossing Structures","Rundle Forebay","11","612035","5659407",2018-12-10,2019-01-07,"Yes",12,2018
"396","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2016-12-21,2017-01-05,"Yes",12,2016
"397","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2017-01-05,2017-02-13,"Yes",1,2017
"398","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2017-02-13,2017-03-14,"Yes",2,2017
"399","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2017-03-14,2017-04-04,"Yes",3,2017
"400","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2017-04-04,2017-05-08,"Yes",4,2017
"401","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2017-05-08,2017-06-13,"Yes",5,2017
"402","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2017-06-13,2017-07-10,"Yes",6,2017
"403","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2017-07-10,2017-08-14,"Yes",7,2017
"404","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2017-08-14,2017-09-11,"Yes",8,2017
"405","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2017-09-11,2017-10-11,"Yes",9,2017
"406","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2017-10-11,2017-11-14,"Yes",10,2017
"407","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2017-11-14,2017-12-11,"Yes",11,2017
"408","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2017-12-11,2017-12-30,"No",12,2017
"409","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2018-01-08,2018-01-10,"No",1,2018
"410","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2018-03-12,2018-04-09,"Yes",3,2018
"411","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2018-04-09,2018-05-18,"Yes",4,2018
"412","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2018-05-18,2018-06-12,"Yes",5,2018
"413","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2018-06-12,2018-07-11,"Yes",6,2018
"414","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2018-07-11,2018-08-16,"Yes",7,2018
"415","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2018-08-16,2018-09-07,"Yes",8,2018
"416","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2018-09-07,2018-10-10,"Yes",9,2018
"417","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2018-10-10,2018-11-15,"Yes",10,2018
"418","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2018-11-15,2018-12-10,"Yes",11,2018
"419","Wildlife Crossing Structures","Kananaskis River Underpass","11","636285","5661138",2018-12-10,2019-01-07,"Yes",12,2018
"420","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2007-12-28,2008-06-13,"Yes",12,2007
"421","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2008-05-28,2008-07-08,"Yes",5,2008
"422","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2008-06-13,2008-06-28,"No",6,2008
"423","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2008-06-28,2008-07-08,"Yes",6,2008
"424","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2008-07-08,2008-07-15,"No",7,2008
"425","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2008-07-15,2010-02-16,"Yes",7,2008
"426","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2010-02-16,2011-11-07,"-1",2,2010
"427","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2011-07-25,2011-08-15,"Yes",7,2011
"428","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2011-11-02,2011-11-07,"Yes",11,2011
"429","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2011-11-07,2011-11-28,"Yes",11,2011
"430","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2011-11-28,2011-12-22,"Yes",11,2011
"431","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2011-12-22,2012-01-09,"Yes",12,2011
"432","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-01-09,2012-01-28,"Yes",1,2012
"433","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-01-28,2012-02-03,"Yes",1,2012
"434","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-02-03,2012-02-21,"Yes",2,2012
"435","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-02-21,2012-03-12,"Yes",2,2012
"436","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-03-12,2012-04-02,"Yes",3,2012
"437","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-04-02,2012-04-21,"Yes",4,2012
"438","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-04-21,2012-05-14,"Yes",4,2012
"439","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-05-14,2012-06-04,"Yes",5,2012
"440","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-06-04,2012-06-28,"Yes",6,2012
"441","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-06-28,2012-07-14,"Yes",6,2012
"442","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-07-14,2012-08-06,"Yes",7,2012
"443","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-08-06,2012-08-27,"Yes",8,2012
"444","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-08-27,2012-09-17,"Yes",8,2012
"445","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-09-17,2012-10-08,"Yes",9,2012
"446","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-10-08,2012-10-28,"No",10,2012
"447","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-11-08,2012-11-17,"Yes",11,2012
"448","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-11-17,2012-12-08,"Yes",11,2012
"449","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-12-08,2012-12-29,"Yes",12,2012
"450","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2012-12-29,2013-01-19,"Yes",12,2012
"451","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2013-01-19,2013-02-09,"Yes",1,2013
"452","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2013-02-09,2013-03-02,"Yes",2,2013
"453","Wildlife Crossing Structures","Stewart Creek Underpass","11","619398","5656548",2013-03-02,2013-03-23,"Yes",3,2013
